id,fecha_venta,producto,cantidad,precio
1,2024-01-02,Gaseosa 330ml,3,800
2,2024-01-02,Café con leche,2,1200
3,2024-01-03,Medialuna,5,400
4,2024-01-03,Agua mineral 500ml,4,600
5,2024-01-04,Alfajor,3,900
6,2024-01-04,Sándwich de miga,2,1800
7,2024-01-05,Jugo natural,4,1500
8,2024-01-05,Facturas x4,3,1600
9,2024-01-06,Gaseosa 330ml,5,800
10,2024-01-06,Medialuna,6,400
11,2024-01-08,Café con leche,3,1200
12,2024-01-08,Alfajor,4,900
13,2024-01-09,Agua mineral 500ml,2,600
14,2024-01-09,Sándwich de miga,1,1800
15,2024-01-10,Gaseosa 330ml,4,800
16,2024-01-11,Jugo natural,2,1500
17,2024-01-11,Facturas x4,4,1600
18,2024-01-12,Medialuna,8,400
19,2024-01-13,Café con leche,3,1200
20,2024-01-15,Alfajor,5,900
21,2024-01-15,Gaseosa 330ml,6,800
22,2024-01-16,Agua mineral 500ml,3,600
23,2024-01-17,Sándwich de miga,2,1800
24,2024-01-18,Medialuna,7,400
25,2024-01-19,Jugo natural,3,1500
26,2024-01-20,Café con leche,4,1200
27,2024-01-22,Facturas x4,2,1600
28,2024-01-23,Alfajor,3,900
29,2024-01-24,Gaseosa 330ml,5,800
30,2024-01-25,Agua mineral 500ml,4,600
31,2024-02-01,Medialuna,6,400
32,2024-02-01,Café con leche,2,1200
33,2024-02-02,Sándwich de miga,3,1800
34,2024-02-03,Jugo natural,4,1500
35,2024-02-05,Gaseosa 330ml,7,800
36,2024-02-05,Alfajor,2,900
37,2024-02-06,Facturas x4,3,1600
38,2024-02-07,Medialuna,9,400
39,2024-02-08,Café con leche,3,1200
40,2024-02-09,Agua mineral 500ml,5,600
41,2024-02-10,Gaseosa 330ml,4,800
42,2024-02-11,Sándwich de miga,2,1800
43,2024-02-12,Alfajor,6,900
44,2024-02-13,Jugo natural,3,1500
45,2024-02-14,Medialuna,5,400
46,2024-02-15,Facturas x4,4,1600
47,2024-02-16,Café con leche,2,1200
48,2024-02-17,Gaseosa 330ml,8,800
49,2024-02-18,Agua mineral 500ml,3,600
50,2024-02-19,Alfajor,4,900
51,2024-02-20,Sándwich de miga,2,1800
52,2024-02-21,Medialuna,7,400
53,2024-02-22,Jugo natural,5,1500
54,2024-02-23,Café con leche,3,1200
55,2024-02-24,Facturas x4,2,1600
56,2024-02-25,Gaseosa 330ml,6,800
57,2024-02-26,Agua mineral 500ml,4,600
58,2024-02-27,Alfajor,3,900
59,2024-02-28,Medialuna,8,400
60,2024-02-29,Sándwich de miga,1,1800
61,2024-03-01,Café con leche,4,1200
62,2024-03-02,Jugo natural,3,1500
63,2024-03-04,Gaseosa 330ml,5,800
64,2024-03-04,Facturas x4,3,1600
65,2024-03-05,Medialuna,6,400
66,2024-03-06,Alfajor,4,900
67,2024-03-07,Agua mineral 500ml,5,600
68,2024-03-08,Sándwich de miga,2,1800
69,2024-03-09,Café con leche,3,1200
70,2024-03-11,Gaseosa 330ml,7,800
71,2024-03-11,Medialuna,10,400
72,2024-03-12,Jugo natural,4,1500
73,2024-03-13,Alfajor,5,900
74,2024-03-14,Facturas x4,3,1600
75,2024-03-15,Agua mineral 500ml,6,600
76,2024-03-16,Café con leche,4,1200
77,2024-03-18,Sándwich de miga,3,1800
78,2024-03-18,Gaseosa 330ml,8,800
79,2024-03-19,Medialuna,9,400
80,2024-03-20,Alfajor,3,900
81,2024-03-21,Jugo natural,5,1500
82,2024-03-22,Facturas x4,4,1600
83,2024-03-23,Café con leche,2,1200
84,2024-03-25,Agua mineral 500ml,4,600
85,2024-03-25,Gaseosa 330ml,6,800
86,2024-03-26,Medialuna,7,400
87,2024-03-27,Sándwich de miga,2,1800
88,2024-03-28,Alfajor,4,900
89,2024-03-29,Jugo natural,3,1500
90,2024-03-30,Facturas x4,2,1600
91,2024-04-01,Café con leche,3,1200
92,2024-04-02,Gaseosa 330ml,5,800
93,2024-04-02,Medialuna,6,400
94,2024-04-03,Alfajor,4,900
95,2024-04-04,Agua mineral 500ml,3,600
96,2024-04-05,Sándwich de miga,2,1800
97,2024-04-06,Jugo natural,4,1500
98,2024-04-07,Facturas x4,3,1600
99,2024-04-08,Café con leche,4,1200
100,2024-04-09,Gaseosa 330ml,7,800
101,2024-04-10,Medialuna,8,400
102,2024-04-11,Alfajor,5,900
103,2024-04-12,Agua mineral 500ml,4,600
104,2024-04-13,Sándwich de miga,3,1800
105,2024-04-14,Jugo natural,3,1500
106,2024-04-15,Facturas x4,4,1600
107,2024-04-16,Café con leche,2,1200
108,2024-04-17,Gaseosa 330ml,6,800
109,2024-04-18,Medialuna,9,400
110,2024-04-19,Alfajor,3,900
111,2024-04-20,Agua mineral 500ml,5,600
112,2024-04-21,Sándwich de miga,2,1800
113,2024-04-22,Jugo natural,4,1500
114,2024-04-23,Facturas x4,2,1600
115,2024-04-24,Café con leche,3,1200
